nrobots,radar_radius,alpha,gamma,mean,std
6.0,6.0,0.01,0.65,4.683,5.216
6.0,6.0,0.01,0.65,5.125,6.669
6.0,6.0,0.01,0.65,4.67,5.093999999999999
6.0,6.0,0.01,0.65,4.92,5.749
6.0,6.0,0.01,0.65,4.628,4.6610000000000005
6.0,6.0,0.01,0.65,5.149,6.307
6.0,6.0,0.01,0.65,4.916,5.729
6.0,6.0,0.01,0.65,4.659,5.5139999999999985
6.0,6.0,0.01,0.65,5.147,6.218
6.0,6.0,0.01,0.65,4.738,5.37
6.0,6.0,0.1,0.65,4.151,2.966
6.0,6.0,0.1,0.65,4.052,2.749
6.0,6.0,0.1,0.65,4.3839999999999995,3.455
6.0,6.0,0.1,0.65,4.191,3.856
6.0,6.0,0.1,0.65,4.382,4.131
6.0,6.0,0.1,0.65,4.095,3.182
6.0,6.0,0.1,0.65,4.243,3.298
6.0,6.0,0.1,0.65,4.249,3.999
6.0,6.0,0.1,0.65,4.208,3.569
6.0,6.0,0.1,0.65,4.277,3.923
6.0,6.0,1.0,0.65,4.237,3.322
6.0,6.0,1.0,0.65,4.147,3.401
6.0,6.0,1.0,0.65,4.143,3.133
6.0,6.0,1.0,0.65,4.488,4.51
6.0,6.0,1.0,0.65,4.176,3.153
6.0,6.0,1.0,0.65,4.272,3.746
6.0,6.0,1.0,0.65,4.08,3.15
6.0,6.0,1.0,0.65,4.229,3.388
6.0,6.0,1.0,0.65,3.9939999999999998,2.403
6.0,6.0,1.0,0.65,4.519,4.959
6.0,6.0,6.0,0.65,3.965,3.21
6.0,6.0,6.0,0.65,4.165,3.188
6.0,6.0,6.0,0.65,4.149,3.8760000000000003
6.0,6.0,6.0,0.65,4.127,3.749
6.0,6.0,6.0,0.65,3.928,3.319
6.0,6.0,6.0,0.65,4.0539999999999985,3.709
6.0,6.0,6.0,0.65,3.966,3.043
6.0,6.0,6.0,0.65,3.931,2.912
6.0,6.0,6.0,0.65,3.911,2.661
6.0,6.0,6.0,0.65,4.087,4.063
6.0,6.0,10.0,0.65,4.24,3.345
6.0,6.0,10.0,0.65,4.212,3.333
6.0,6.0,10.0,0.65,4.231,4.507
6.0,6.0,10.0,0.65,4.026,2.517
6.0,6.0,10.0,0.65,4.137,3.185
6.0,6.0,10.0,0.65,4.004,3.2110000000000003
6.0,6.0,10.0,0.65,4.063,2.88
6.0,6.0,10.0,0.65,4.089,3.3310000000000004
6.0,6.0,10.0,0.65,4.112,2.7439999999999998
6.0,6.0,10.0,0.65,4.44,5.099
