nrobots,ncells,steps,total_difficulty,beans_deployed
10,28,4437,5617,64
10,28,4411,5617,61
10,28,4453,5617,63
10,28,4422,5617,65
10,28,4442,5617,68
10,28,4385,5617,65
10,28,4407,5617,64
10,28,4416,5617,65
10,28,4473,5617,66
10,28,4420,5617,67
14,28,3235,5617,65
14,28,3188,5617,74
14,28,3152,5617,70
14,28,3174,5617,74
14,28,3234,5617,71
14,28,3239,5617,77
14,28,3177,5617,66
14,28,3214,5617,69
14,28,3227,5617,70
14,28,3240,5617,68
18,28,2540,5617,73
18,28,2524,5617,71
18,28,2529,5617,72
18,28,2522,5617,82
18,28,2553,5617,84
18,28,2560,5617,72
18,28,2541,5617,73
18,28,2528,5617,75
18,28,2524,5617,70
18,28,2584,5617,74
22,28,2112,5617,78
22,28,2061,5617,86
22,28,2082,5617,78
22,28,2081,5617,79
22,28,2102,5617,85
22,28,2114,5617,79
22,28,2065,5617,79
22,28,2061,5617,76
22,28,2138,5617,83
22,28,2033,5617,83
26,28,1782,5617,90
26,28,1755,5617,97
26,28,1788,5617,89
26,28,1754,5617,90
26,28,1760,5617,99
26,28,1829,5617,101
26,28,1762,5617,92
26,28,1767,5617,88
26,28,1763,5617,89
26,28,1808,5617,93
30,28,1585,5617,99
30,28,1548,5617,95
30,28,1546,5617,104
30,28,1521,5617,104
30,28,1566,5617,111
30,28,1558,5617,94
30,28,1614,5617,99
30,28,1605,5617,106
30,28,1528,5617,101
30,28,1593,5617,105
34,28,1380,5617,102
34,28,1380,5617,117
34,28,1406,5617,120
34,28,1443,5617,117
34,28,1385,5617,103
34,28,1372,5617,115
34,28,1413,5617,123
34,28,1397,5617,113
34,28,1465,5617,110
34,28,1409,5617,118
38,28,1299,5617,123
38,28,1280,5617,125
38,28,1253,5617,113
38,28,1272,5617,119
38,28,1255,5617,115
38,28,1277,5617,127
38,28,1291,5617,122
38,28,1262,5617,118
38,28,1288,5617,120
38,28,1262,5617,105
42,28,1172,5617,128
42,28,1146,5617,134
42,28,1185,5617,137
42,28,1151,5617,144
42,28,1181,5617,126
42,28,1143,5617,127
42,28,1189,5617,124
42,28,1146,5617,124
42,28,1147,5617,122
42,28,1178,5617,135
