nrobots,ncells,steps,total_difficulty,beans_deployed
2,8,2270,586,9
2,8,2309,584,9
2,8,2358,607,9
2,8,2506,649,9
2,8,2187,532,9
2,8,2258,569,9
2,8,2315,589,9
2,8,2708,691,10
2,8,2337,602,8
3,13,3789,1465,17
3,13,3758,1462,18
3,13,3492,1318,17
3,13,3767,1446,16
3,13,3584,1394,17
3,13,3650,1386,18
3,13,3794,1441,18
3,13,3150,1182,17
3,13,3494,1359,17
3,13,3528,1338,18
4,18,4868,2463,28
4,18,4718,2414,26
4,18,4706,2361,30
4,18,4780,2427,30
4,18,4703,2371,29
4,18,4823,2439,27
4,18,4693,2405,30
4,18,5003,2570,27
4,18,4774,2434,29
4,18,4615,2360,28
5,23,5977,3817,40
5,23,5879,3754,44
5,23,6191,3963,45
5,23,5975,3808,47
5,23,6083,3841,42
5,23,5766,3676,40
5,23,5963,3796,43
5,23,6028,3825,45
5,23,5999,3802,45
5,23,6038,3906,38
6,28,7234,5550,55
6,28,7121,5403,61
6,28,7345,5667,59
6,28,7135,5489,59
6,28,7263,5595,61
6,28,7335,5663,59
6,28,7225,5565,58
6,28,7205,5515,56
6,28,7111,5479,58
6,28,7282,5572,60
7,33,8454,7586,72
7,33,8418,7517,81
7,33,8486,7558,75
7,33,8262,7336,80
7,33,8532,7645,75
7,33,8503,7647,78
7,33,8555,7600,77
7,33,8561,7670,76
7,33,8491,7574,75
7,33,8388,7432,78
8,38,9522,9793,101
8,38,9808,10095,100
8,38,9620,9846,96
8,38,9684,9966,102
8,38,9660,9859,102
8,38,9501,9661,98
8,38,9574,9764,102
8,38,9707,9877,105
8,38,9520,9720,103
8,38,9672,9913,102
