sim_index,nrobots,fitness,radar_radius,wifi_range,alpha,gamma ,gamma
0.0,1.0,10182.0,6.0,3.0,8.175,,0.65
1.0,1.0,10184.0,6.0,3.0,8.175,,0.65
2.0,1.0,10188.0,6.0,3.0,8.175,,0.65
3.0,1.0,10192.0,6.0,3.0,8.175,,0.65
4.0,1.0,10187.0,6.0,3.0,8.175,,0.65
5.0,1.0,10184.0,6.0,3.0,8.175,,0.65
6.0,1.0,10186.0,6.0,3.0,8.175,,0.65
7.0,1.0,10194.0,6.0,3.0,8.175,,0.65
8.0,1.0,10186.0,6.0,3.0,8.175,,0.65
9.0,1.0,10195.0,6.0,3.0,8.175,,0.65
0.0,6.0,7616.666666666668,6.0,3.0,8.175,,0.65
1.0,6.0,7464.666666666668,6.0,3.0,8.175,,0.65
2.0,6.0,7579.166666666668,6.0,3.0,8.175,,0.65
3.0,6.0,7484.333333333332,6.0,3.0,8.175,,0.65
4.0,6.0,7565.166666666668,6.0,3.0,8.175,,0.65
5.0,6.0,7486.666666666668,6.0,3.0,8.175,,0.65
6.0,6.0,7489.166666666668,6.0,3.0,8.175,,0.65
7.0,6.0,7521.0,6.0,3.0,8.175,,0.65
8.0,6.0,7575.0,6.0,3.0,8.175,,0.65
9.0,6.0,7426.666666666668,6.0,3.0,8.175,,0.65
0.0,11.0,4169.909090909091,6.0,3.0,8.175,,0.65
1.0,11.0,4159.090909090909,6.0,3.0,8.175,,0.65
2.0,11.0,4253.363636363636,6.0,3.0,8.175,,0.65
3.0,11.0,4137.181818181818,6.0,3.0,8.175,,0.65
4.0,11.0,4135.363636363636,6.0,3.0,8.175,,0.65
5.0,11.0,4162.090909090909,6.0,3.0,8.175,,0.65
6.0,11.0,4261.545454545455,6.0,3.0,8.175,,0.65
7.0,11.0,4258.636363636364,6.0,3.0,8.175,,0.65
8.0,11.0,4176.272727272727,6.0,3.0,8.175,,0.65
9.0,11.0,4158.272727272727,6.0,3.0,8.175,,0.65
0.0,16.0,2975.9375,6.0,3.0,8.175,,0.65
1.0,16.0,2959.625,6.0,3.0,8.175,,0.65
2.0,16.0,3014.1875,6.0,3.0,8.175,,0.65
3.0,16.0,3023.5,6.0,3.0,8.175,,0.65
4.0,16.0,2963.5,6.0,3.0,8.175,,0.65
5.0,16.0,2999.0625,6.0,3.0,8.175,,0.65
6.0,16.0,2924.25,6.0,3.0,8.175,,0.65
7.0,16.0,2966.5625,6.0,3.0,8.175,,0.65
8.0,16.0,2925.3125,6.0,3.0,8.175,,0.65
9.0,16.0,2974.3125,6.0,3.0,8.175,,0.65
0.0,21.0,2279.952380952381,6.0,3.0,8.175,,0.65
1.0,21.0,2309.2380952380954,6.0,3.0,8.175,,0.65
2.0,21.0,2289.0,6.0,3.0,8.175,,0.65
3.0,21.0,2274.5238095238096,6.0,3.0,8.175,,0.65
4.0,21.0,2187.6190476190477,6.0,3.0,8.175,,0.65
5.0,21.0,2325.0476190476197,6.0,3.0,8.175,,0.65
6.0,21.0,2298.0476190476197,6.0,3.0,8.175,,0.65
7.0,21.0,2328.285714285714,6.0,3.0,8.175,,0.65
8.0,21.0,2294.285714285714,6.0,3.0,8.175,,0.65
9.0,21.0,2216.904761904762,6.0,3.0,8.175,,0.65
0.0,26.0,1920.0384615384608,6.0,3.0,8.175,,0.65
1.0,26.0,1870.5384615384608,6.0,3.0,8.175,,0.65
2.0,26.0,1924.1153846153845,6.0,3.0,8.175,,0.65
3.0,26.0,1852.3846153846155,6.0,3.0,8.175,,0.65
4.0,26.0,1840.3076923076928,6.0,3.0,8.175,,0.65
5.0,26.0,1826.0384615384608,6.0,3.0,8.175,,0.65
6.0,26.0,1879.1538461538464,6.0,3.0,8.175,,0.65
7.0,26.0,1882.0384615384608,6.0,3.0,8.175,,0.65
8.0,26.0,1819.3076923076928,6.0,3.0,8.175,,0.65
9.0,26.0,1833.9615384615383,6.0,3.0,8.175,,0.65
0.0,31.0,1570.032258064516,6.0,3.0,8.175,,0.65
1.0,31.0,1697.8709677419354,6.0,3.0,8.175,,0.65
2.0,31.0,1602.161290322581,6.0,3.0,8.175,,0.65
3.0,31.0,1661.6774193548388,6.0,3.0,8.175,,0.65
4.0,31.0,1703.2580645161293,6.0,3.0,8.175,,0.65
5.0,31.0,1580.3870967741934,6.0,3.0,8.175,,0.65
6.0,31.0,1579.6129032258066,6.0,3.0,8.175,,0.65
7.0,31.0,1667.548387096774,6.0,3.0,8.175,,0.65
8.0,31.0,1587.9354838709678,6.0,3.0,8.175,,0.65
9.0,31.0,1587.225806451613,6.0,3.0,8.175,,0.65
0.0,36.0,1454.3055555555554,6.0,3.0,8.175,,0.65
1.0,36.0,1521.0,6.0,3.0,8.175,,0.65
2.0,36.0,1445.8055555555554,6.0,3.0,8.175,,0.65
3.0,36.0,1474.2222222222226,6.0,3.0,8.175,,0.65
4.0,36.0,1399.388888888889,6.0,3.0,8.175,,0.65
5.0,36.0,1440.9444444444446,6.0,3.0,8.175,,0.65
6.0,36.0,1484.4722222222226,6.0,3.0,8.175,,0.65
7.0,36.0,1461.111111111111,6.0,3.0,8.175,,0.65
8.0,36.0,1468.8055555555554,6.0,3.0,8.175,,0.65
9.0,36.0,1435.5277777777774,6.0,3.0,8.175,,0.65
0.0,41.0,1311.6341463414635,6.0,3.0,8.175,,0.65
1.0,41.0,1258.1951219512196,6.0,3.0,8.175,,0.65
2.0,41.0,1293.0243902439024,6.0,3.0,8.175,,0.65
3.0,41.0,1234.780487804878,6.0,3.0,8.175,,0.65
4.0,41.0,1345.9024390243906,6.0,3.0,8.175,,0.65
5.0,41.0,1304.4878048780488,6.0,3.0,8.175,,0.65
6.0,41.0,1301.4146341463415,6.0,3.0,8.175,,0.65
7.0,41.0,1274.6341463414635,6.0,3.0,8.175,,0.65
8.0,41.0,1316.2682926829268,6.0,3.0,8.175,,0.65
9.0,41.0,1294.8292682926829,6.0,3.0,8.175,,0.65
0.0,46.0,1173.4347826086955,6.0,3.0,8.175,,0.65
1.0,46.0,1200.0217391304348,6.0,3.0,8.175,,0.65
2.0,46.0,1217.5,6.0,3.0,8.175,,0.65
3.0,46.0,1219.7826086956522,6.0,3.0,8.175,,0.65
4.0,46.0,1210.913043478261,6.0,3.0,8.175,,0.65
5.0,46.0,1218.7391304347825,6.0,3.0,8.175,,0.65
6.0,46.0,1221.3695652173913,6.0,3.0,8.175,,0.65
7.0,46.0,1185.695652173913,6.0,3.0,8.175,,0.65
8.0,46.0,1257.4565217391305,6.0,3.0,8.175,,0.65
9.0,46.0,1162.3478260869565,6.0,3.0,8.175,,0.65
0.0,51.0,1015.0196078431372,6.0,3.0,8.175,,0.65
1.0,51.0,1123.2352941176468,6.0,3.0,8.175,,0.65
2.0,51.0,1120.1960784313726,6.0,3.0,8.175,,0.65
3.0,51.0,1114.2352941176468,6.0,3.0,8.175,,0.65
4.0,51.0,1070.921568627451,6.0,3.0,8.175,,0.65
5.0,51.0,1105.2352941176468,6.0,3.0,8.175,,0.65
6.0,51.0,1190.921568627451,6.0,3.0,8.175,,0.65
7.0,51.0,1131.0392156862745,6.0,3.0,8.175,,0.65
8.0,51.0,1087.0196078431372,6.0,3.0,8.175,,0.65
9.0,51.0,1094.5686274509803,6.0,3.0,8.175,,0.65
0.0,56.0,982.3928571428572,6.0,3.0,8.175,,0.65
1.0,56.0,1059.1607142857142,6.0,3.0,8.175,,0.65
2.0,56.0,1111.4642857142858,6.0,3.0,8.175,,0.65
3.0,56.0,1035.625,6.0,3.0,8.175,,0.65
4.0,56.0,1098.357142857143,6.0,3.0,8.175,,0.65
5.0,56.0,1130.1607142857142,6.0,3.0,8.175,,0.65
6.0,56.0,1053.9107142857142,6.0,3.0,8.175,,0.65
7.0,56.0,1097.5357142857142,6.0,3.0,8.175,,0.65
8.0,56.0,1082.357142857143,6.0,3.0,8.175,,0.65
9.0,56.0,1087.375,6.0,3.0,8.175,,0.65
0.0,61.0,1033.9180327868853,6.0,3.0,8.175,,0.65
1.0,61.0,967.688524590164,6.0,3.0,8.175,,0.65
2.0,61.0,1066.032786885246,6.0,3.0,8.175,,0.65
3.0,61.0,975.9344262295082,6.0,3.0,8.175,,0.65
4.0,61.0,1022.4426229508196,6.0,3.0,8.175,,0.65
5.0,61.0,1007.8688524590165,6.0,3.0,8.175,,0.65
6.0,61.0,953.5573770491804,6.0,3.0,8.175,,0.65
7.0,61.0,1134.5737704918033,6.0,3.0,8.175,,0.65
8.0,61.0,995.5737704918033,6.0,3.0,8.175,,0.65
9.0,61.0,1005.2131147540983,6.0,3.0,8.175,,0.65
0.0,66.0,1007.4848484848483,6.0,3.0,8.175,,0.65
1.0,66.0,953.5909090909092,6.0,3.0,8.175,,0.65
2.0,66.0,872.0757575757576,6.0,3.0,8.175,,0.65
3.0,66.0,1049.8484848484848,6.0,3.0,8.175,,0.65
4.0,66.0,929.3484848484848,6.0,3.0,8.175,,0.65
5.0,66.0,927.1060606060606,6.0,3.0,8.175,,0.65
6.0,66.0,1121.7575757575758,6.0,3.0,8.175,,0.65
7.0,66.0,931.6969696969696,6.0,3.0,8.175,,0.65
8.0,66.0,965.1363636363636,6.0,3.0,8.175,,0.65
9.0,66.0,930.0606060606059,6.0,3.0,8.175,,0.65
0.0,71.0,935.7042253521124,6.0,3.0,8.175,,0.65
1.0,71.0,839.3521126760562,6.0,3.0,8.175,,0.65
2.0,71.0,981.4929577464787,6.0,3.0,8.175,,0.65
3.0,71.0,920.6056338028168,6.0,3.0,8.175,,0.65
4.0,71.0,840.3239436619717,6.0,3.0,8.175,,0.65
5.0,71.0,964.9859154929576,6.0,3.0,8.175,,0.65
6.0,71.0,938.2535211267606,6.0,3.0,8.175,,0.65
7.0,71.0,923.1408450704224,6.0,3.0,8.175,,0.65
8.0,71.0,961.661971830986,6.0,3.0,8.175,,0.65
9.0,71.0,902.9859154929576,6.0,3.0,8.175,,0.65
0.0,76.0,882.736842105263,6.0,3.0,8.175,,0.65
1.0,76.0,961.0,6.0,3.0,8.175,,0.65
2.0,76.0,909.0394736842104,6.0,3.0,8.175,,0.65
3.0,76.0,896.078947368421,6.0,3.0,8.175,,0.65
4.0,76.0,831.013157894737,6.0,3.0,8.175,,0.65
5.0,76.0,978.7894736842104,6.0,3.0,8.175,,0.65
6.0,76.0,879.0657894736843,6.0,3.0,8.175,,0.65
7.0,76.0,920.1184210526317,6.0,3.0,8.175,,0.65
8.0,76.0,921.0921052631579,6.0,3.0,8.175,,0.65
9.0,76.0,933.6842105263158,6.0,3.0,8.175,,0.65
