nrobots,ncells,steps,total_difficulty,beans_deployed
6,32,7431,0,61
6,32,7286,0,62
6,32,7377,0,61
6,32,7305,0,62
6,32,7386,0,63
6,32,7313,0,57
6,32,7293,0,58
6,32,7334,0,56
5,10,1133,623,11
6,32,7369,0,57
6,32,7267,0,62
11,32,4043,0,62
11,32,4023,0,65
11,32,4098,0,72
11,32,4002,0,67
11,32,4023,0,65
11,32,4036,0,64
11,32,4104,0,65
11,32,4084,0,62
11,32,4054,0,62
11,32,4032,0,64
16,32,2857,0,77
16,32,2829,0,74
16,32,2870,0,72
16,32,2860,0,71
16,32,2836,0,70
16,32,2859,0,78
16,32,2820,0,73
16,32,2832,0,76
16,32,2812,0,77
16,32,2860,0,76
21,32,2175,0,81
21,32,2180,0,84
21,32,2183,0,80
21,32,2179,0,77
21,32,2117,0,83
21,32,2194,0,80
21,32,2174,0,83
21,32,2201,0,81
21,32,2186,0,85
21,32,2134,0,82
26,32,1802,0,102
26,32,1766,0,94
26,32,1801,0,96
26,32,1765,0,97
26,32,1749,0,88
26,32,1745,0,91
26,32,1792,0,103
26,32,1778,0,97
26,32,1738,0,84
26,32,1757,0,100
31,32,1492,0,105
31,32,1563,0,100
31,32,1506,0,102
31,32,1532,0,106
31,32,1567,0,111
31,32,1499,0,104
31,32,1495,0,103
31,32,1551,0,105
31,32,1495,0,97
31,32,1512,0,101
36,32,1355,0,129
36,32,1384,0,117
36,32,1357,0,125
36,32,1362,0,115
36,32,1317,0,116
36,32,1335,0,116
36,32,1366,0,120
36,32,1352,0,118
36,32,1360,0,117
36,32,1332,0,109
41,32,1205,0,125
41,32,1181,0,125
41,32,1201,0,140
41,32,1162,0,120
41,32,1230,0,138
41,32,1209,0,139
41,32,1206,0,134
41,32,1182,0,121
41,32,1211,0,124
41,32,1200,0,138
46,32,1086,0,137
46,32,1102,0,137
46,32,1118,0,156
46,32,1106,0,140
46,32,1110,0,131
46,32,1118,0,153
46,32,1120,0,146
46,32,1097,0,137
46,32,1136,0,131
46,32,1076,0,133
51,30,963,5617,153
51,30,1020,5615,140
51,30,1016,5615,143
51,30,1008,5617,135
51,30,995,5602,156
51,30,1013,5602,155
51,30,1061,5683,144
51,30,1030,5602,143
51,30,1000,5602,136
51,30,1006,5615,155
56,30,920,5683,160
56,30,954,5615,156
56,30,985,5602,152
56,30,942,5602,153
56,30,978,5636,148
56,30,1001,5683,157
56,30,954,5615,148
56,30,980,5683,148
56,30,968,5602,135
56,30,979,5683,156
61,30,913,5602,147
61,30,876,5615,155
61,30,942,5636,167
61,30,887,5683,151
61,30,909,5602,160
61,30,911,5683,162
61,30,871,5615,153
61,30,969,5636,173
61,30,900,5636,169
61,30,906,5683,168
66,30,885,5636,176
66,30,858,5615,165
66,30,802,5617,158
66,30,901,5602,169
66,30,844,5683,174
66,30,842,5683,173
66,30,948,5683,171
66,30,843,5615,167
66,30,857,5617,178
66,30,834,5617,163
71,30,825,5636,180
71,30,773,5636,171
71,30,847,5636,166
71,30,816,5602,177
71,30,772,5617,181
71,30,839,5602,163
71,30,824,5683,168
71,30,818,5602,182
71,30,840,5615,178
71,30,805,5615,168
76,30,780,5615,173
76,30,817,5617,180
76,30,789,5615,169
76,30,787,5617,183
76,30,753,5636,168
76,30,835,5602,191
76,30,778,5636,177
76,30,800,5617,182
76,30,808,5683,168
76,30,809,5636,184
